 1: 3983.445801, 3983.445801 avg loss, 0.000000 rate, 8.518392 seconds, 128 images
 2: 3984.875000, 3983.588623 avg loss, 0.000000 rate, 8.670844 seconds, 256 images
 3: 3984.625977, 3983.692383 avg loss, 0.000000 rate, 8.901071 seconds, 384 images
 8: 3983.542480, 3983.677490 avg loss, 0.000000 rate, 9.257170 seconds, 1024 images
 9: 3855.127441, 3970.822510 avg loss, 0.000000 rate, 9.061247 seconds, 1152 images
 10: 3855.591553, 3959.299316 avg loss, 0.000000 rate, 8.883525 seconds, 1280 images
 11: 3856.877930, 3949.057129 avg loss, 0.000000 rate, 8.847399 seconds, 1408 images
 16: 3854.965332, 3939.647949 avg loss, 0.000000 rate, 9.307606 seconds, 2048 images
 17: 3856.056641, 3931.288818 avg loss, 0.000000 rate, 8.850043 seconds, 2176 images
 18: 3855.259521, 3923.685791 avg loss, 0.000000 rate, 9.001029 seconds, 2304 images
 19: 1591.092041, 3690.426514 avg loss, 0.000000 rate, 4.140883 seconds, 2432 images
 24: 1590.627808, 3480.446533 avg loss, 0.000000 rate, 4.552705 seconds, 3072 images
 25: 1590.270020, 3291.428955 avg loss, 0.000000 rate, 4.253124 seconds, 3200 images
 26: 1588.798340, 3121.166016 avg loss, 0.000000 rate, 4.267538 seconds, 3328 images
 27: 1587.760254, 2967.825439 avg loss, 0.000000 rate, 4.283232 seconds, 3456 images
 32: 1586.577393, 2829.700684 avg loss, 0.000000 rate, 4.591603 seconds, 4096 images
 33: 1583.983276, 2705.128906 avg loss, 0.000000 rate, 4.307286 seconds, 4224 images
 34: 1581.284058, 2592.744385 avg loss, 0.000000 rate, 4.362323 seconds, 4352 images
 35: 1577.507324, 2491.220703 avg loss, 0.000000 rate, 4.268505 seconds, 4480 images
 40: 1574.069946, 2399.505615 avg loss, 0.000000 rate, 4.613887 seconds, 5120 images
 41: 2564.179199, 2415.972900 avg loss, 0.000000 rate, 6.342826 seconds, 5248 images
 42: 2552.528320, 2429.628418 avg loss, 0.000000 rate, 6.205427 seconds, 5376 images
 43: 2538.570312, 2440.522705 avg loss, 0.000000 rate, 6.174695 seconds, 5504 images
 48: 2523.756836, 2448.846191 avg loss, 0.000000 rate, 6.453597 seconds, 6144 images
 49: 2506.907227, 2454.652344 avg loss, 0.000000 rate, 6.391461 seconds, 6272 images
 50: 2480.336670, 2457.220703 avg loss, 0.000000 rate, 6.363750 seconds, 6400 images
 51: 2452.360352, 2456.734619 avg loss, 0.000000 rate, 6.243036 seconds, 6528 images
 56: 2420.525879, 2453.113770 avg loss, 0.000000 rate, 6.427600 seconds, 7168 images
 57: 2387.203613, 2446.522705 avg loss, 0.000000 rate, 6.200019 seconds, 7296 images
 58: 2338.585449, 2435.729004 avg loss, 0.000000 rate, 6.402611 seconds, 7424 images
 59: 1397.708496, 2331.927002 avg loss, 0.000000 rate, 4.198854 seconds, 7552 images
 64: 1365.945068, 2235.328857 avg loss, 0.000000 rate, 4.619970 seconds, 8192 images
 65: 1331.945801, 2144.990479 avg loss, 0.000000 rate, 4.267247 seconds, 8320 images
 66: 1288.657959, 2059.357178 avg loss, 0.000000 rate, 4.382790 seconds, 8448 images
 67: 1245.725830, 1977.994019 avg loss, 0.000000 rate, 4.261295 seconds, 8576 images
 72: 1201.270874, 1900.321655 avg loss, 0.000000 rate, 4.681971 seconds, 9216 images
 73: 1159.039551, 1826.193481 avg loss, 0.000000 rate, 4.325632 seconds, 9344 images
 74: 1104.509766, 1754.025146 avg loss, 0.000000 rate, 4.230127 seconds, 9472 images
 75: 1049.513184, 1683.573975 avg loss, 0.000000 rate, 4.359352 seconds, 9600 images
 80: 995.771790, 1614.793701 avg loss, 0.000000 rate, 4.607033 seconds, 10240 images
 81: 744.258850, 1527.740234 avg loss, 0.000000 rate, 3.233392 seconds, 10368 images
